Created account,2024-05-30T16:18:30.219393475
Got customer,2024-05-30T16:19:11.352879232
Got customer,2024-05-30T16:19:11.362755187
Got transactions,2024-05-30T16:19:22.552041788
Got customer,2024-05-30T16:23:15.777668533
Got customer,2024-05-30T16:23:15.800811583
Got transactions,2024-05-30T16:23:21.144829381
Got customer,2024-05-30T16:24:50.937462256
Got customer,2024-05-30T16:24:50.956775299
Got customers with their accounts,2024-05-30T16:26:47.155291874
Got customer,2024-05-30T16:27:55.306727637
Got customer,2024-05-30T16:27:55.325681442
Got transactions,2024-05-30T16:27:58.942387099
Got customers with their accounts,2024-05-30T16:32:03.928982780
Got customers with their accounts,2024-05-30T16:32:03.947230429
Created account,2024-05-30T16:32:18.140482448
Got customer,2024-05-30T16:32:29.536283383
Got customer,2024-05-30T16:32:29.546949964
Got account,2024-05-30T16:32:29.565607928
Got account,2024-05-30T16:32:29.575466904
Got transactions,2024-05-30T16:32:29.582643313
Got transactions,2024-05-30T16:32:32.508674812
Got customer,2024-05-30T16:32:48.868712547
Got account,2024-05-30T16:32:48.875523004
Got customers with their accounts,2024-05-30T16:33:19.545644014
Got customers with their accounts,2024-05-30T16:33:19.552442404
Got customers with their accounts,2024-05-30T16:35:23.799759737
Got customers with their accounts,2024-05-30T16:35:23.818934959
Got customers with their accounts,2024-05-30T16:39:56.117764923
Got customers with their accounts,2024-05-30T16:39:56.140123826
Got customer,2024-05-30T16:40:11.256293697
Got customers with their accounts,2024-05-30T16:44:16.866644905
Got customers with their accounts,2024-05-30T16:44:16.983253815
Got customers with their accounts,2024-05-30T16:45:03.893149158
Got customers with their accounts,2024-05-30T16:45:03.911103054
Got customers with their accounts,2024-05-30T16:47:00.380950282
Got customers with their accounts,2024-05-30T16:47:00.397779195
Got customer,2024-05-30T16:47:08.001473137
Got account,2024-05-30T16:47:08.041568360
Got customers with their accounts,2024-05-30T16:47:14.059510668
Got customers with their accounts,2024-05-30T16:47:14.068215635
Got customer,2024-05-30T16:47:31.950260594
Got account,2024-05-30T16:47:31.971828064
Got customer,2024-05-30T16:48:34.968745280
Got account,2024-05-30T16:49:05.725241562
Got customers with their accounts,2024-05-30T16:53:26.963816977
Got customers with their accounts,2024-05-30T16:53:26.982802131
Got customer,2024-05-30T16:53:33.602784019
Got account,2024-05-30T16:53:33.614182256
Got customers with their accounts,2024-05-30T16:53:37.813614089
Got customers with their accounts,2024-05-30T16:53:37.822260400
Got transactions,2024-05-30T16:53:55.343016668
Got customers with their accounts,2024-05-30T16:55:51.911362513
Got customers with their accounts,2024-05-30T16:55:51.929282393
Got customer,2024-05-30T16:56:07.186816164
Got account,2024-05-30T16:56:07.204974425
Added deposit,2024-05-30T16:56:07.246557316
Got customers with their accounts,2024-05-30T16:56:11.483766775
Got customers with their accounts,2024-05-30T16:56:11.493342926
Got transactions,2024-05-30T16:56:15.650661562
Got customer,2024-05-30T16:56:52.766718968
Got account,2024-05-30T16:57:25.075056386
Got customer,2024-05-30T16:58:08.505757511
Got account,2024-05-30T16:58:08.529660684
Added deposit,2024-05-30T16:58:08.583279885
Got customers with their accounts,2024-05-30T16:58:12.532745982
Got customers with their accounts,2024-05-30T16:58:12.541620672
Got customer,2024-05-30T17:01:52.847963662
Got account,2024-05-30T17:01:52.870227275
Withdrawal,2024-05-30T17:01:52.915493721
Got customers with their accounts,2024-05-30T17:01:56.744997683
Got customers with their accounts,2024-05-30T17:01:56.758530267
Got transactions,2024-05-30T17:02:01.406309704
Created loan,2024-05-30T17:02:52.407172202
Created loan,2024-05-30T17:04:45.890681874
Got customers with their loans,2024-05-30T17:04:54.590010945
Got customers with their loans,2024-05-30T17:04:54.598951257
Got customers with their loans,2024-05-30T17:05:02.588363445
Got customers with their loans,2024-05-30T17:05:02.597242133
Got customers with their loans,2024-05-30T17:06:37.089664843
Got customers with their loans,2024-05-30T17:06:59.389603549
Got customers with their loans,2024-05-30T17:08:53.934049537
Got customers with their loans,2024-05-30T17:08:53.954208695
Got customers with their loans,2024-05-30T17:09:08.476964991
Got customers with their loans,2024-05-30T17:09:08.485148233
Got customers with their loans,2024-05-30T17:09:18.089227587
Got customers with their loans,2024-05-30T17:09:18.098207682
Got customers with their loans,2024-05-30T17:12:14.930251705
